"filename", "language", "JSON with Comments", "JavaScript", "XML", "CSS", "SCSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"d:\Nola-Website\jsconfig.json", "JSON with Comments", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Nola-Website\nola-website\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 38, 0, 0, 33, 71
"d:\Nola-Website\nola-website\package-lock.json", "JSON", 0, 0, 0, 0, 0, 18195, 0, 0, 0, 1, 18196
"d:\Nola-Website\nola-website\package.json", "JSON", 0, 0, 0, 0, 0, 50, 0, 0, 0, 1, 51
"d:\Nola-Website\nola-website\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 23, 2, 45
"d:\Nola-Website\nola-website\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"d:\Nola-Website\nola-website\src\App.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 23, 7, 48
"d:\Nola-Website\nola-website\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Nola-Website\nola-website\src\components\OffCanNav.jsx", "JavaScript", 0, 102, 0, 0, 0, 0, 0, 0, 7, 18, 127
"d:\Nola-Website\nola-website\src\components\tabTest.jsx", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 3, 29
"d:\Nola-Website\nola-website\src\components\test.jsx", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 6, 16
"d:\Nola-Website\nola-website\src\components\timeline.jsx", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 0, 1, 11, 48
"d:\Nola-Website\nola-website\src\components\topNav.jsx", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 4, 40
"d:\Nola-Website\nola-website\src\custom.scss", "SCSS", 0, 0, 0, 0, 63, 0, 0, 0, 4, 14, 81
"d:\Nola-Website\nola-website\src\index.css", "CSS", 0, 0, 0, 69, 0, 0, 0, 0, 4, 32, 105
"d:\Nola-Website\nola-website\src\index.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 3, 4, 18
"d:\Nola-Website\nola-website\src\logo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Nola-Website\nola-website\src\pages\NoPage.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Nola-Website\nola-website\src\pages\aboutMe.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\Nola-Website\nola-website\src\pages\gallery.js", "JavaScript", 0, 184, 0, 0, 0, 0, 0, 0, 0, 17, 201
"d:\Nola-Website\nola-website\src\pages\home.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 10, 31
"d:\Nola-Website\nola-website\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\Nola-Website\nola-website\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"d:\Nola-Website\webpack.config.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 10, 2, 24
"Total", "-", 10, 495, 1, 69, 63, 18270, 38, 20, 79, 174, 19219
